2023-05-18 00:05:44,934 - INFO - ===================Anomaly Detector Start======================
2023-05-18 00:05:45,075 - INFO - Begin to poll records from sever:192.168.46.134:9092, topic:fish-keeper-washed, group-id:test-5-17-1
2023-05-18 00:05:45,375 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.979, 'light': 0.0, 'temperature': 29.263, 'humidity': 88.213, 'waterTemperature': 29.293, 'timestamp': '2023-05-17 21:52:48'}, '养鱼3': None}
2023-05-18 00:05:45,375 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.256, 'light': 0.0, 'temperature': 29.266, 'humidity': 88.192, 'waterTemperature': 23.424, 'timestamp': '2023-05-17 21:53:18'}, '养鱼3': None}
2023-05-18 00:05:45,376 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.848, 'light': 0.0, 'temperature': 29.22, 'humidity': 88.234, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:53:48'}, '养鱼3': None}
2023-05-18 00:05:45,376 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.148, 'light': 0.0, 'temperature': 29.24, 'humidity': 88.228, 'waterTemperature': 24.425, 'timestamp': '2023-05-17 21:54:18'}, '养鱼3': None}
2023-05-18 00:05:45,376 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.26, 'light': 0.0, 'temperature': 29.24, 'humidity': 88.27, 'waterTemperature': 23.412, 'timestamp': '2023-05-17 21:54:48'}, '养鱼3': None}
2023-05-18 00:05:45,381 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.387, 'light': 0.0, 'temperature': 29.245, 'humidity': 88.28, 'waterTemperature': 24.385, 'timestamp': '2023-05-17 21:55:18'}, '养鱼3': None}
2023-05-18 00:05:45,381 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.535, 'light': 0.0, 'temperature': 29.245, 'humidity': 88.317, 'waterTemperature': 21.982, 'timestamp': '2023-05-17 21:55:48'}, '养鱼3': None}
2023-05-18 00:05:45,381 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.59, 'light': 0.0, 'temperature': 29.22, 'humidity': 88.343, 'waterTemperature': 21.982, 'timestamp': '2023-05-17 21:56:18'}, '养鱼3': None}
2023-05-18 00:05:45,381 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.05, 'light': 0.0, 'temperature': 29.293, 'humidity': 88.38, 'waterTemperature': 24.448, 'timestamp': '2023-05-17 21:56:48'}, '养鱼3': None}
2023-05-18 00:05:45,381 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.246, 'light': 0.0, 'temperature': 29.302, 'humidity': 88.384, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:57:18'}, '养鱼3': None}
2023-05-18 00:05:45,387 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.113, 'light': 0.0, 'temperature': 29.29, 'humidity': 88.393, 'waterTemperature': 19.563, 'timestamp': '2023-05-17 21:57:48'}, '养鱼3': None}
2023-05-18 00:05:45,387 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.46, 'light': 0.0, 'temperature': 29.32, 'humidity': 88.41, 'waterTemperature': 23.448, 'timestamp': '2023-05-17 21:58:18'}, '养鱼3': None}
2023-05-18 00:05:45,388 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.982, 'light': 0.0, 'temperature': 29.343, 'humidity': 88.368, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 21:58:48'}, '养鱼3': None}
2023-05-18 00:05:45,388 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 29.422, 'humidity': 88.346, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 21:59:18'}, '养鱼3': None}
2023-05-18 00:05:45,388 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 25.142, 'light': 0.0, 'temperature': 29.41, 'humidity': 88.287, 'waterTemperature': 24.472, 'timestamp': '2023-05-17 21:59:48'}, '养鱼3': None}
2023-05-18 00:05:45,394 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.814, 'light': 0.0, 'temperature': 29.38, 'humidity': 88.306, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:0:18'}, '养鱼3': None}
2023-05-18 00:05:45,394 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.444, 'light': 0.0, 'temperature': 29.39, 'humidity': 88.274, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:0:48'}, '养鱼3': None}
2023-05-18 00:05:45,394 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.412, 'light': 0.0, 'temperature': 29.468, 'humidity': 88.248, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:1:18'}, '养鱼3': None}
2023-05-18 00:05:45,394 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 29.48, 'humidity': 88.128, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:1:48'}, '养鱼3': None}
2023-05-18 00:05:45,395 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 29.538, 'humidity': 88.134, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:2:18'}, '养鱼3': None}
2023-05-18 00:05:45,402 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.355, 'light': 0.0, 'temperature': 29.518, 'humidity': 88.102, 'waterTemperature': 24.493, 'timestamp': '2023-05-17 22:2:48'}, '养鱼3': None}
2023-05-18 00:05:45,402 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.432, 'light': 0.0, 'temperature': 29.566, 'humidity': 88.07, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:3:18'}, '养鱼3': None}
2023-05-18 00:05:45,403 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 24.953, 'light': 0.0, 'temperature': 29.543, 'humidity': 88.017, 'waterTemperature': 22.08, 'timestamp': '2023-05-17 22:3:48'}, '养鱼3': None}
2023-05-18 00:05:45,403 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.49, 'light': 0.0, 'temperature': 29.565, 'humidity': 87.927, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:4:18'}, '养鱼3': None}
2023-05-18 00:05:45,403 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 23.263, 'light': 0.0, 'temperature': 29.58, 'humidity': 87.857, 'waterTemperature': 19.627, 'timestamp': '2023-05-17 22:4:48'}, '养鱼3': None}
